category,solver,problem_size,lcp_dimension,contact_count,solver_identity_schema_version,solver_manifest_index,solver_family_pivoting,solver_family_projection,solver_family_newton,solver_family_other,time_ns,contract_ok,iterations,residual,complementarity,bound_violation,solver_supports_standard,solver_supports_boxed,solver_supports_friction_index,solver_supports_problem,problem_type_standard,problem_type_boxed,problem_type_friction_index,problem_type_invalid
Standard,InteriorPoint,48,48,,1,18,0,0,0,1,10897.388980491545,1,0,2.8421709430404007e-14,2.8421709430404007e-14,0,1,0,0,1,1,0,0,0
Standard,InteriorPoint,96,96,,1,18,0,0,0,1,57538.405742185001,1,0,1.1368683772161603e-13,1.1368683772161603e-13,0,1,0,0,1,1,0,0,0
Standard,Jacobi,12,12,,1,7,0,1,0,0,931.3730251457755,1,0,1.4210854715202004e-14,1.4210854715202004e-14,0,1,1,1,1,1,0,0,0
Standard,Jacobi,24,24,,1,7,0,1,0,0,2557.0428544006145,1,0,1.0658141036401503e-14,1.0658141036401503e-14,0,1,1,1,1,1,0,0,0
Standard,Jacobi,48,48,,1,7,0,1,0,0,10347.39958212073,1,0,2.8421709430404007e-14,2.8421709430404007e-14,0,1,1,1,1,1,0,0,0
Standard,Jacobi,96,96,,1,7,0,1,0,0,46496.845933714772,1,0,1.1368683772161603e-13,1.1368683772161603e-13,0,1,1,1,1,1,0,0,0
Standard,Lemke,12,12,,1,2,1,0,0,0,926.2155048854961,1,0,1.4210854715202004e-14,1.4210854715202004e-14,0,1,0,0,1,1,0,0,0
Standard,Lemke,24,24,,1,2,1,0,0,0,2631.0561018981525,1,0,1.0658141036401503e-14,1.0658141036401503e-14,0,1,0,0,1,1,0,0,0
Standard,Lemke,48,48,,1,2,1,0,0,0,10935.521018831632,1,0,2.8421709430404007e-14,2.8421709430404007e-14,0,1,0,0,1,1,0,0,0
Standard,Lemke,96,96,,1,2,1,0,0,0,49768.108303996756,1,0,1.1368683772161603e-13,1.1368683772161603e-13,0,1,0,0,1,1,0,0,0
Standard,MPRGP,12,12,,1,19,0,0,0,1,987.27027652343759,1,0,1.4210854715202004e-14,1.4210854715202004e-14,0,1,0,0,1,1,0,0,0
Standard,MPRGP,24,24,,1,19,0,0,0,1,2690.4426566360594,1,0,1.0658141036401503e-14,1.0658141036401503e-14,0,1,0,0,1,1,0,0,0
Standard,MPRGP,48,48,,1,19,0,0,0,1,11670.828816636429,1,0,2.8421709430404007e-14,2.8421709430404007e-14,0,1,0,0,1,1,0,0,0
Standard,MPRGP,96,96,,1,19,0,0,0,1,49678.589444483849,1,0,1.1368683772161603e-13,1.1368683772161603e-13,0,1,0,0,1,1,0,0,0
Standard,MinimumMapNewton,12,12,,1,15,0,0,1,0,944.51607173226876,1,0,1.4210854715202004e-14,1.4210854715202004e-14,0,1,0,0,1,1,0,0,0
Standard,MinimumMapNewton,24,24,,1,15,0,0,1,0,2606.5282565727225,1,0,1.0658141036401503e-14,1.0658141036401503e-14,0,1,0,0,1,1,0,0,0
Standard,MinimumMapNewton,48,48,,1,15,0,0,1,0,10627.319604904877,1,0,2.8421709430404007e-14,2.8421709430404007e-14,0,1,0,0,1,1,0,0,0
Standard,MinimumMapNewton,96,96,,1,15,0,0,1,0,47880.364714603602,1,0,1.1368683772161603e-13,1.1368683772161603e-13,0,1,0,0,1,1,0,0,0
Standard,NNCG,12,12,,1,11,0,1,0,0,897.94947058540072,1,0,1.4210854715202004e-14,1.4210854715202004e-14,0,1,1,1,1,1,0,0,0
Standard,NNCG,24,24,,1,11,0,1,0,0,2738.9159503343044,1,0,1.0658141036401503e-14,1.0658141036401503e-14,0,1,1,1,1,1,0,0,0
Standard,NNCG,48,48,,1,11,0,1,0,0,10237.983172645025,1,0,2.8421709430404007e-14,2.8421709430404007e-14,0,1,1,1,1,1,0,0,0
Standard,NNCG,96,96,,1,11,0,1,0,0,42932.026847609079,1,0,1.1368683772161603e-13,1.1368683772161603e-13,0,1,1,1,1,1,0,0,0
