category,solver,problem_size,lcp_dimension,contact_count,solver_identity_schema_version,solver_manifest_index,solver_family_pivoting,solver_family_projection,solver_family_newton,solver_family_other,time_ns,contract_ok,iterations,residual,complementarity,bound_violation,solver_supports_standard,solver_supports_boxed,solver_supports_friction_index,solver_supports_problem,problem_type_standard,problem_type_boxed,problem_type_friction_index,problem_type_invalid
FrictionIndex,Dantzig,64,192,64,1,1,1,0,0,0,254871.54030180749,1,0,2.2737367544323206e-13,2.2737367544323206e-13,0,1,1,1,1,0,0,1,0
FrictionIndex,Jacobi,4,12,4,1,7,0,1,0,0,1224.0668684640491,1,0,3.5527136788005009e-15,3.5527136788005009e-15,0,1,1,1,1,0,0,1,0
FrictionIndex,Jacobi,16,48,16,1,7,0,1,0,0,12409.51589769016,1,0,5.6843418860808015e-14,5.6843418860808015e-14,0,1,1,1,1,0,0,1,0
FrictionIndex,Jacobi,64,192,64,1,7,0,1,0,0,242347.0554785018,1,0,2.2737367544323206e-13,2.2737367544323206e-13,0,1,1,1,1,0,0,1,0
FrictionIndex,NNCG,4,12,4,1,11,0,1,0,0,1214.2903490582923,1,0,3.5527136788005009e-15,3.5527136788005009e-15,0,1,1,1,1,0,0,1,0
FrictionIndex,NNCG,16,48,16,1,11,0,1,0,0,14086.551421960776,1,0,5.6843418860808015e-14,5.6843418860808015e-14,0,1,1,1,1,0,0,1,0
FrictionIndex,NNCG,64,192,64,1,11,0,1,0,0,267518.1053911639,1,0,2.2737367544323206e-13,2.2737367544323206e-13,0,1,1,1,1,0,0,1,0
FrictionIndex,Pgs,4,12,4,1,5,0,1,0,0,1133.5905467311848,1,6,1.6398601693445869e-05,1.6398601693445869e-05,0,1,1,1,1,0,0,1,0
FrictionIndex,Pgs,16,48,16,1,5,0,1,0,0,9701.1052440106068,1,7,4.0734701826750097e-05,4.0734701826750097e-05,0,1,1,1,1,0,0,1,0
FrictionIndex,Pgs,64,192,64,1,5,0,1,0,0,176784.37643535034,1,8,0.00012896163759279489,0.00012896163759279489,0,1,1,1,1,0,0,1,0
FrictionIndex,RedBlackGaussSeidel,4,12,4,1,8,0,1,0,0,1157.0719439675493,1,0,3.5527136788005009e-15,3.5527136788005009e-15,0,1,1,1,1,0,0,1,0
FrictionIndex,RedBlackGaussSeidel,16,48,16,1,8,0,1,0,0,12366.753044544623,1,0,5.6843418860808015e-14,5.6843418860808015e-14,0,1,1,1,1,0,0,1,0
FrictionIndex,RedBlackGaussSeidel,64,192,64,1,8,0,1,0,0,244488.66414834862,1,0,2.2737367544323206e-13,2.2737367544323206e-13,0,1,1,1,1,0,0,1,0
FrictionIndex,Sap,4,12,4,1,23,0,0,0,1,1340.1750269127315,1,2,3.5527136788005009e-15,3.5527136788005009e-15,0,1,1,1,1,0,0,1,0
FrictionIndex,Sap,16,48,16,1,23,0,0,0,1,12462.7437633022,1,2,5.6843418860808015e-14,5.6843418860808015e-14,0,1,1,1,1,0,0,1,0
FrictionIndex,Sap,64,192,64,1,23,0,0,0,1,268973.69313387282,1,2,2.2737367544323206e-13,2.2737367544323206e-13,0,1,1,1,1,0,0,1,0
FrictionIndex,ShockPropagation,4,12,4,1,20,0,0,0,1,1406.1580400898536,1,0,3.5527136788005009e-15,3.5527136788005009e-15,0,1,1,1,1,0,0,1,0
FrictionIndex,ShockPropagation,16,48,16,1,20,0,0,0,1,14589.77052056924,1,0,5.6843418860808015e-14,5.6843418860808015e-14,0,1,1,1,1,0,0,1,0
FrictionIndex,ShockPropagation,64,192,64,1,20,0,0,0,1,302427.84893883526,1,0,2.2737367544323206e-13,2.2737367544323206e-13,0,1,1,1,1,0,0,1,0
FrictionIndex,Staggering,4,12,4,1,21,0,0,0,1,1134.8003316482632,1,0,3.5527136788005009e-15,3.5527136788005009e-15,0,0,0,1,1,0,0,1,0
FrictionIndex,Staggering,16,48,16,1,21,0,0,0,1,11185.206290246429,1,0,5.6843418860808015e-14,5.6843418860808015e-14,0,0,0,1,1,0,0,1,0
FrictionIndex,Staggering,64,192,64,1,21,0,0,0,1,240848.45091917968,1,0,2.2737367544323206e-13,2.2737367544323206e-13,0,0,0,1,1,0,0,1,0
FrictionIndex,SubspaceMinimization,4,12,4,1,12,0,1,0,0,1190.803039741267,1,0,3.5527136788005009e-15,3.5527136788005009e-15,0,1,1,1,1,0,0,1,0
FrictionIndex,SubspaceMinimization,16,48,16,1,12,0,1,0,0,12957.248519834151,1,0,5.6843418860808015e-14,5.6843418860808015e-14,0,1,1,1,1,0,0,1,0
FrictionIndex,SubspaceMinimization,64,192,64,1,12,0,1,0,0,277243.40909091418,1,0,2.2737367544323206e-13,2.2737367544323206e-13,0,1,1,1,1,0,0,1,0
FrictionIndex,SymmetricPsor,4,12,4,1,6,0,1,0,0,1207.4686699384588,1,0,3.5527136788005009e-15,3.5527136788005009e-15,0,1,1,1,1,0,0,1,0
FrictionIndex,SymmetricPsor,16,48,16,1,6,0,1,0,0,13658.325153483866,1,0,5.6843418860808015e-14,5.6843418860808015e-14,0,1,1,1,1,0,0,1,0
FrictionIndex,SymmetricPsor,64,192,64,1,6,0,1,0,0,306037.90811861987,1,4,0.04003098787302406,0.04003098787302406,0,1,1,1,1,0,0,1,0
FrictionIndex,Tgs,4,12,4,1,14,0,1,0,0,1081.9226225850925,1,6,1.6398601691669512e-05,1.6398601691669512e-05,0,1,1,1,1,0,0,1,0
FrictionIndex,Tgs,16,48,16,1,14,0,1,0,0,9502.8355251533121,1,7,4.0734701784117533e-05,4.0734701784117533e-05,0,1,1,1,1,0,0,1,0
FrictionIndex,Tgs,64,192,64,1,14,0,1,0,0,170884.88700423855,1,8,0.00012896163763542745,0.00012896163763542745,0,1,1,1,1,0,0,1,0
